State,Income,Sample Sizec,Prevalence (Percent),Standard Error,95% CId (Percent),|| ||,Weighted Numbere,95% CId (Weighted Number)
U.S. Totalf,"< $15,000",20945,20.0,0.59,(18.9–21.2),||,2784319,"(2,610,022–2,958,615)"
U.S. Totalf,"$15,000–<$25,000",34700,17.7,0.44,(16.8–18.5),||,3490241,"(3,307,005–3,673,478)"
U.S. Totalf,"$25,000–<$50,000",90337,15.0,0.27,(14.4–15.5),||,7213090,"(6,942,163–7,484,018)"
U.S. Totalf,"$50,000–<$75,000",58679,13.4,0.30,(12.8–14.0),||,4035665,"(3,846,375–4,224,955)"
U.S. Totalf,">=$75,000",133014,13.1,0.21,(12.7–13.5),||,10026586,"(9,699,669–10,353,503)"
AL,"< $15,000",279,21.4,3.12,(15.2–27.5),||,53186,"(36,126–70,247)"
AL,"$15,000–<$25,000",430,17.5,2.46,(12.7–22.3),||,67738,"(47,399–88,077)"
AL,"$25,000–<$50,000",1014,17.6,1.68,(14.3–20.9),||,148250,"(117,803–178,698)"
AL,"$50,000–<$75,000",590,12.0,1.81,(8.5–15.6),||,65873,"(45,080–86,666)"
AL,">=$75,000",1149,13.0,1.43,(10.3–15.8),||,128686,"(99,012–158,359)"
AK,"< $15,000",263,17.2,3.17,(11.0–23.5),||,4329,"(2,620–6,038)"
AK,"$15,000–<$25,000",386,14.7,2.21,(10.4–19.1),||,5191,"(3,681–6,701)"
AK,"$25,000–<$50,000",1000,18.0,2.01,(14.1–22.0),||,19885,"(15,029–24,742)"
AK,"$50,000–<$75,000",776,12.5,1.68,(9.2–15.8),||,8844,"(6,387–11,302)"
AK,">=$75,000",2033,10.6,1.02,(8.6–12.6),||,21931,"(17,656–26,205)"
AZ,"< $15,000",582,20.7,2.59,(15.6–25.8),||,62199,"(45,154–79,244)"
AZ,"$15,000–<$25,000",968,16.1,1.81,(12.5–19.6),||,85940,"(65,076–106,804)"
AZ,"$25,000–<$50,000",2469,16.0,1.04,(13.9–18.0),||,200721,"(173,097–228,346)"
AZ,"$50,000–<$75,000",1504,13.3,1.23,(10.9–15.7),||,98873,"(79,788–117,957)"
AZ,">=$75,000",3099,14.8,0.85,(13.1–16.5),||,243773,"(214,592–272,954)"
AR,"< $15,000",366,18.5,2.91,(12.8–24.2),||,31075,"(20,629–41,520)"
AR,"$15,000–<$25,000",610,20.1,2.73,(14.8–25.5),||,54565,"(38,103–71,027)"
AR,"$25,000–<$50,000",1243,13.0,1.43,(10.2–15.8),||,74829,"(57,826–91,832)"
AR,"$50,000–<$75,000",714,9.2,1.44,(6.3–12.0),||,27806,"(18,912–36,699)"
AR,">=$75,000",1113,10.9,1.33,(8.3–13.5),||,56907,"(42,515–71,299)"
CA,"< $15,000",730,15.7,1.75,(12.3–19.2),||,532082,"(406,494–657,669)"
CA,"$15,000–<$25,000",662,16.0,1.92,(12.2–19.7),||,454894,"(337,727–572,061)"
CA,"$25,000–<$50,000",1135,13.7,1.32,(11.1–16.3),||,706594,"(564,112–849,077)"
CA,"$50,000–<$75,000",751,13.5,1.60,(10.3–16.6),||,458828,"(345,718–571,937)"
CA,">=$75,000",2471,15.1,0.96,(13.2–17.0),||,1718211,"(1,491,226–1,945,196)"
CO,"< $15,000",406,25.0,2.60,(19.9–30.1),||,41863,"(31,995–51,731)"
CO,"$15,000–<$25,000",684,16.8,1.66,(13.6–20.1),||,48146,"(38,144–58,147)"
